"C","Kosta Koufos",3100,FALSE,9.14
"PF","DeMarcus Cousins",10400,TRUE,44.23
"SF","Rudy Gay",6300,TRUE,24.84
"SG","James Anderson",3100,FALSE,14.91
"SG","Marco Belinelli",3200,FALSE,8.4
"PG","Darren Collison",5200,FALSE,22.55
"C","Willie Cauley-Stein",3900,TRUE,19.72
"PF","Luis Scola",3600,TRUE,18.61
"C","Bismack Biyombo",4900,TRUE,27.97
"PF","Patrick Patterson",3900,FALSE,17.86
"C","Lucas Nogueira",3000,FALSE,7.52
"SF","James Johnson",3100,TRUE,14.93
"SG","DeMar DeRozan",7800,TRUE,40.05
"PG","Cory Joseph",3900,FALSE,20.16
"PF","Jason Thompson",3100,FALSE,18.24
"SG","Terrence Ross",3400,FALSE,17.95
"C","Jonas Valanciunas",5100,FALSE,17.24
"PG","Kyle Lowry",8200,TRUE,41.8
"SF","Bruno Caboclo",3000,FALSE,5.36
"SG","Norman Powell",3300,FALSE,15.8
"PG","Delon Wright",3000,FALSE,9.13
"PG","Shelvin Mack",6200,TRUE,25.21
"C","Rudy Gobert",6300,TRUE,22.44
"SG","Joe Ingles",3800,FALSE,12.23
"SF","Gordon Hayward",6900,TRUE,30.69
"PF","Trey Lyles",3000,FALSE,9.42
"PG","Raul Neto",3000,FALSE,8.64
"PF","Derrick Favors",7300,TRUE,29.05
"SG","Rodney Hood",5800,TRUE,23.77
"PG","Trey Burke",3000,FALSE,7.36
"SF","Chris Johnson",3000,FALSE,8.53
"PF","Trevor Booker",3300,FALSE,12.31
"C","Jeff Withey",3000,FALSE,8.25
