,index,GameID,gametime,name,Minutes,Start,active,DKP,Team,Opp,home,team_pts,opp_pts,dk_sal,dk_pos,dk_change,Stats,DoubleD,min_7d_avg,min_90d_avg,dk_avg_90_days,opppts_avg,dk_per_min,DKP_trans,dk_sal_increase,dk_sal_decrease,dk_std_90_days,dk_max_30_days
12958,2016-03-21 00:00:00,20160321-orl-bos,19.5,Marcus Smart,,,,,bos,orl,H,,,4300.0,1.0,0.0,,,26.404166666666647,26.615000000000002,22.8875,106.48275862068965,0.8599473980837873,,False,False,10.045401741784456,39.5
13884,2016-03-21 00:00:00,20160321-orl-bos,19.5,Evan Turner,,,,,bos,orl,H,,,5500.0,2.0,0.0,,,28.39166666666665,28.02261904761905,25.654761904761905,106.48275862068965,0.9155019329623179,,False,False,9.5217902185628,37.25
14094,2016-03-21 00:00:00,20160321-orl-bos,19.5,Malcolm Miller,,,,,bos,orl,H,,,,,,,,,,,106.48275862068965,,,False,False,,
15611,2016-03-21 00:00:00,20160321-orl-bos,19.5,Perry Jones III,,,,,bos,orl,H,,,,,,,,,,,106.48275862068965,,,False,False,,
18312,2016-03-21 00:00:00,20160321-orl-bos,19.5,Amir Johnson,,,,,bos,orl,H,,,4000.0,4.0,100.0,,,24.275000000000002,21.67291666666667,20.13125,106.48275862068965,0.9288666730750744,,True,False,11.361482881615004,36.5
20448,2016-03-21 00:00:00,20160321-orl-bos,19.5,Terry Rozier,,,,,bos,orl,H,,,3000.0,1.0,0.0,,,12.483333333333348,6.537179487179495,6.75,106.48275862068965,1.0325554030201989,,False,False,6.089608635481704,18.75
24573,2016-03-21 00:00:00,20160321-orl-bos,19.5,Kelly Olynyk,,,,,bos,orl,H,,,4000.0,5.0,0.0,,,23.866666666666664,21.71944444444444,20.958333333333332,106.48275862068965,0.9649571556465022,,False,False,9.50069946003372,14.0
27493,2016-03-21 00:00:00,20160321-orl-bos,19.5,James Young,,,,,bos,orl,H,,,3000.0,2.0,0.0,,,12.46666666666665,5.5811111111111105,2.3,106.48275862068965,0.41210432012741394,,False,False,2.5620862035235494,6.5
27718,2016-03-21 00:00:00,20160321-orl-bos,19.5,Jae Crowder,,,,,bos,orl,H,,,5500.0,3.0,0.0,,,,32.22149122807017,29.605263157894736,106.48275862068965,0.9188048730688084,,False,False,8.304311721757527,48.25
28778,2016-03-21 00:00:00,20160321-orl-bos,19.5,Isaiah Thomas,,,,,bos,orl,H,,,7600.0,1.0,100.0,,,32.59583333333335,32.594841269841275,38.05357142857143,106.48275862068965,1.167472211738638,,True,False,9.367421443213367,52.75
29339,2016-03-21 00:00:00,20160321-orl-bos,19.5,R.J. Hunter,,,,,bos,orl,H,,,3000.0,2.0,0.0,,,12.25,6.8702380952380935,3.9464285714285716,106.48275862068965,0.5744238433547048,,False,False,4.670054532942773,9.5
30181,2016-03-21 00:00:00,20160321-orl-bos,19.5,Levi Randolph,,,,,bos,orl,H,,,,,,,,,,,106.48275862068965,,,False,False,,
1385,2016-03-21 00:00:00,20160321-sas-cha,19.0,Tyler Hansbrough,,,,,cha,sas,H,,,3000.0,4.0,0.0,,,6.56666666666667,9.479166666666659,6.614583333333333,94.54460093896714,0.6978021978021983,,False,False,7.472041790199834,8.0
1831,2016-03-21 00:00:00,20160321-sas-cha,19.0,Nicolas Batum,,,,,cha,sas,H,,,7000.0,2.0,-400.0,,,39.12916666666668,37.200490196078434,34.48529411764706,94.54460093896714,0.9270118198948464,,False,True,11.685094943998848,52.0
2556,2016-03-21 00:00:00,20160321-sas-cha,19.0,Damien Wilkins,,,,,cha,sas,H,,,,,,,,,,,94.54460093896714,,,False,False,,
2696,2016-03-21 00:00:00,20160321-sas-cha,19.0,Jason Washburn,,,,,cha,sas,H,,,,,,,,,,,94.54460093896714,,,False,False,,
3357,2016-03-21 00:00:00,20160321-sas-cha,19.0,Jeremy Lamb,,,,,cha,sas,H,,,3000.0,2.0,0.0,,,,16.653448275862072,15.301724137931034,94.54460093896714,0.9188321772440209,,False,False,9.78436692928554,23.5
6221,2016-03-21 00:00:00,20160321-sas-cha,19.0,Jorge Gutierrez,,,,,cha,sas,H,,,3000.0,1.0,0.0,,,,3.8066666666666675,3.9,94.54460093896714,1.0245183887915934,,False,False,3.4577810804040214,9.0
8957,2016-03-21 00:00:00,20160321-sas-cha,19.0,Aaron Harrison,,,,,cha,sas,H,,,3000.0,1.0,0.0,,,,3.9615384615384617,1.5,94.54460093896714,0.3786407766990291,,False,False,1.334634781503914,4.75
15819,2016-03-21 00:00:00,20160321-sas-cha,19.0,Cody Zeller,,,,,cha,sas,H,,,3800.0,5.0,-100.0,,,24.820833333333326,26.330092592592596,22.680555555555557,94.54460093896714,0.8613929281029662,,False,True,8.461385210622415,33.0
18037,2016-03-21 00:00:00,20160321-sas-cha,19.0,Spencer Hawes,,,,,cha,sas,H,,,3600.0,5.0,0.0,,,,21.224603174603175,18.214285714285715,94.54460093896714,0.8581684926896759,,False,False,8.806704021044748,
19757,2016-03-21 00:00:00,20160321-sas-cha,19.0,Frank Kaminsky,,,,,cha,sas,H,,,3200.0,5.0,-100.0,,,16.420833333333327,22.4531746031746,18.071428571428573,94.54460093896714,0.8048495988123434,,False,True,7.870383996405199,25.75
20170,2016-03-21 00:00:00,20160321-sas-cha,19.0,Jeremy Lin,,,,,cha,sas,H,,,3500.0,1.0,0.0,,,21.4875,26.505555555555556,21.08974358974359,94.54460093896714,0.7956725730777292,,False,False,10.086710769277067,29.5
20662,2016-03-21 00:00:00,20160321-sas-cha,19.0,Kemba Walker,,,,,cha,sas,H,,,8100.0,1.0,-600.0,,,39.22083333333332,37.206097560975614,41.94512195121951,94.54460093896714,1.1273722508112358,,False,True,13.408662334839972,60.75
20939,2016-03-21 00:00:00,20160321-sas-cha,19.0,Al Jefferson,,,,,cha,sas,H,,,4400.0,5.0,-400.0,,,21.475,21.374999999999996,21.52777777777778,94.54460093896714,1.0071474983755688,,False,True,7.917260039682145,38.0
23292,2016-03-21 00:00:00,20160321-sas-cha,19.0,Jason Maxiell,,,,,cha,sas,H,,,,,,,,,,,94.54460093896714,,,False,False,,
23988,2016-03-21 00:00:00,20160321-sas-cha,19.0,Sam Thompson,,,,,cha,sas,H,,,,,,,,,,,94.54460093896714,,,False,False,,
24644,2016-03-21 00:00:00,20160321-sas-cha,19.0,Courtney Lee,,,,,cha,sas,H,,,3600.0,2.0,0.0,,,31.04166666666668,29.35000000000001,17.885135135135137,94.54460093896714,0.6093742805838205,,False,False,6.619257100654467,29.0
27921,2016-03-21 00:00:00,20160321-sas-cha,19.0,Marvin Williams,,,,,cha,sas,H,,,5400.0,4.0,-400.0,,,31.66666666666668,28.27619047619048,26.714285714285715,94.54460093896714,0.9447625463118895,,False,True,10.027032278127969,53.25
28199,2016-03-21 00:00:00,20160321-sas-cha,19.0,Michael Kidd-Gilchrist,,,,,cha,sas,H,,,4000.0,3.0,0.0,,,,29.247619047619057,24.464285714285715,94.54460093896714,0.8364539238033212,,False,False,10.774611914345774,
